review_stars,reveiw_buy_site,review_name,review_date,review_title,review_text
평점5,담은 Damun,wkdm****,23.06.11.,맛있어요 탄산없어서 더 오프라인 두 번 찾아갔는데 사람이 앖어서 못샀어요ㅜㅜ,"맛있어요 탄산없어서 더
오프라인 두 번 찾아갔는데 사람이 앖어서 못샀어요ㅜㅜ"
평점5,담은 Damun,muna****,23.06.10.,굉장히 부드럽고 맛있음,굉장히 부드럽고 맛있음
평점4,담은 Damun,dkss****,23.06.07.,"약간 텁텁한 맛이 강해서 처음엔 뭘까 싶었는데, 마시다보니 괜찮아요.","약간 텁텁한 맛이 강해서 처음엔 뭘까 싶었는데, 마시다보니 괜찮아요."
평점5,담은 Damun,pkm3****,23.06.07.,맛있고 너무너무 부드러요요,맛있고 너무너무 부드러요요
평점5,담은 Damun,ggp0****,23.06.06.,늘 컬리에서 주문하다가 품절이라 검색했더니 네이버에 있었네요! 너무 좋은 막걸리에요 ㅎ,늘 컬리에서 주문하다가 품절이라 검색했더니 네이버에 있었네요! 너무 좋은 막걸리에요 ㅎ
평점5,담은 Damun,ekff****,23.06.06.,우유처럼 부드러운 막걸리예요 탄산도 거의 없고 신맛도 거의 없어서 제 입맞에 딱이네요!,우유처럼 부드러운 막걸리예요 탄산도 거의 없고 신맛도 거의 없어서 제 입맞에 딱이네요!
평점4,담은 Damun,azal****,23.06.05.,프리미엄 막걸리답게 개성있고 고급진 맛골목 막걸리랑 비슷하면서도 다릅니다.특징 정리해보자면>탄산 제로~마구 흔들었다가 바로 열어도 가스 안 올라와요. 안심하게 열면 되니 편해,"프리미엄 막걸리답게 개성있고 고급진 맛
골목 막걸리랑 비슷하면서도 다릅니다.
특징 정리해보자면
>탄산 제로~
마구 흔들었다가 바로 열어도 가스 안 올라와요. 안심하게 열면 되니 편해요.
>자연스러운 단맛과 없다시피한 산미
포도향 은은하게 나는 요거트 같은
>약한 바디
물에 불어놓은 셀렉스 단백질(곡물 맛 없고 입자 고운 미숫가루)를 마시는 듯한 질감인데 침전물이 되게 고와서 바디감에 기여하지 않아요. 술이란 생각이 안 들 정도로 가볍고 홀짝홀짝 잘 넘어가요.

그냥도 마시고 하이볼로도 맛있게 마셨어요.
미미한 산미에 탄산없고 적당히 달콤하다는 점에서 합격~ 하지만 개인적으로 바디감 있는 걸쭉한 막걸리 선호하는지라 재구매는 안 할 거 같아요..

저랑 취향이 비슷하시면 도전! 후회없습니다.
병이 예뻐서 선물용으로 꽤 좋아 보여요.

단맛 싫어하고 산미와 탄산감으로 막걸리 드시는 분들은 입맛에 안 맞으실 거 같아 패스!"
평점5,담은 Damun,chil****,23.06.03.,처음 먹어본 막걸리의 맛인거 같아요,처음 먹어본 막걸리의 맛인거 같아요
평점5,담은 Damun,qpsx****,23.06.02.,어머님께서 막걸리 좋아하셔서 여러가지 맛을 보셨는데 이 막걸리가 제일 맛있다고 하셔서 재구매했어요. 다 마시면 또 주문할께요.,어머님께서 막걸리 좋아하셔서 여러가지 맛을 보셨는데 이 막걸리가 제일 맛있다고 하셔서 재구매했어요. 다 마시면 또 주문할께요.
평점5,담은 Damun,dooj****,23.06.01.,병도 너무 이쁘고기대됩니다!!,"병도 너무 이쁘고
기대됩니다!!"
평점5,담은 Damun,snk3****,23.06.01.,너무너무 부드럽고 맛있습니다... :) 다음에 또 구매할께요~!,너무너무 부드럽고 맛있습니다... :) 다음에 또 구매할께요~!
평점5,담은 Damun,hear****,23.06.01.,보들보들 맛있어요 굳굳 재구매합니다,보들보들 맛있어요 굳굳 재구매합니다
평점3,담은 Damun,fern****,23.05.31.,날도 더운데 물로 된 아이스팩 작은거 달랑 하나 넣고 포장한거 실화세요?,날도 더운데 물로 된 아이스팩 작은거 달랑 하나 넣고 포장한거 실화세요?
평점5,담은 Damun,choc****,23.05.30.,맛있게 잘먹었습니다. 하지만 주문때마다 제조일마다 맛의 차이는 조금 있습니다.,맛있게 잘먹었습니다. 하지만 주문때마다 제조일마다 맛의 차이는 조금 있습니다.
평점5,담은 Damun,qpsx****,23.05.29.,여러종류의 막걸리를 마셔봤는데 가족들이 이 막걸리가 제일 맛있다네요. 다 마시면 재구매하겠습니다.,여러종류의 막걸리를 마셔봤는데 가족들이 이 막걸리가 제일 맛있다네요. 다 마시면 재구매하겠습니다.
평점5,담은 Damun,tomc****,23.05.27.,"단양에서 온 부각이랑 함께 먹었어요.너무 잘 어울리네요.첫 맛은 우유의 텍스처에 알콜향도 안나고, 무슨 향일까 생각해보니 쌀이였네요. 쌀을 매우 곱게 갈아놓은것처럼 부드러웠고, 탄","단양에서 온 부각이랑 함께 먹었어요.
너무 잘 어울리네요.

첫 맛은 우유의 텍스처에 알콜향도 안나고, 무슨 향일까 생각해보니 쌀이였네요. 쌀을 매우 곱게 갈아놓은것처럼 부드러웠고, 탄산도 없고 이게 술이맞나 싶었어요.
가급적이면 따서 바로드시는 걸 추천합니다. 먹고 남겨 두면 살짝 알콜 향이 더 올라오는거 같더라구요."
평점3,담은 Damun,kmob****,23.05.27.,맛은 평이합니다.효소로 당화시켜서 쿵쿵함이 없고 깔끔해요.빛깔과 바디감이 생쌀막걸리 같아요. 전분질 때문에 입안에 텁텁함이 남습니다.,"맛은 평이합니다.
효소로 당화시켜서 쿵쿵함이 없고 깔끔해요.
빛깔과 바디감이 생쌀막걸리 같아요.
전분질 때문에 입안에 텁텁함이 남습니다."
평점5,담은 Damun,azy*****,23.05.26.,부드럽고 고소합니다. 잡내도 없어 깔끔해요,부드럽고 고소합니다. 잡내도 없어 깔끔해요
평점5,담은 Damun,minj****,23.05.26.,아주 좋아요!!-!,아주 좋아요!!-!
평점5,담은 Damun,boda****,23.05.26.,선물로 구입했어요. 패기지가 예뻐서 선물용으로도 좋아요.,선물로 구입했어요. 패기지가 예뻐서 선물용으로도 좋아요.
평점5,담은 Damun,hjy2****,23.05.25.,캠핑가서 두병은 순삭하고 한병은 집에서 마셨습니다. 맛이 부드럽고 탄산이 없어서 아주 좋습니다.,캠핑가서 두병은 순삭하고 한병은 집에서 마셨습니다. 맛이 부드럽고 탄산이 없어서 아주 좋습니다.
평점5,담은 Damun,god0****,23.05.24.,예쁜선물했어요! 다음에 또 이용할게요ㅋ,예쁜선물했어요! 다음에 또 이용할게요ㅋ
평점5,담은 Damun,tidy****,23.05.23.,"비싼 가격이 이유가 있다,,, 존맛탱","비싼 가격이 이유가 있다,,, 존맛탱"
평점5,담은 Damun,kim9****,23.05.23.,킹갓최고의 막걸리입니다,킹갓최고의 막걸리입니다
평점5,담은 Damun,cafe****,23.05.21.,"좋아하는 막걸리, 좋아하는 친구에게 선물했네요^^","좋아하는 막걸리, 좋아하는 친구에게 선물했네요^^"
평점5,담은 Damun,wdy1****,23.05.19.,전에 먹었을 때 맛있게 먹어서 이번에는 선물하였습니다.,전에 먹었을 때 맛있게 먹어서 이번에는 선물하였습니다.
평점5,담은 Damun,foot****,23.05.19.,맛있어요. 많이파세요.,맛있어요. 많이파세요.
평점5,담은 Damun,mirr****,23.05.18.,재구매해서 또 마셨는데부드럽고 또 부드럽고 탄산은 없지만약간의 산미와 단맛이 적어서부담없이 깔끔하게 넘어가요맑은 플레인 요거트 술 같아요 ㅎㅎ,"재구매해서 또 마셨는데
부드럽고 또 부드럽고 탄산은 없지만
약간의 산미와 단맛이 적어서
부담없이 깔끔하게 넘어가요
맑은 플레인 요거트 술 같아요 ㅎㅎ"
평점5,담은 Damun,your****,23.05.18.,넘 맛있어서 집들이때 먹으려구 주문했어용,넘 맛있어서 집들이때 먹으려구 주문했어용
평점5,담은 Damun,mara****,23.05.17.,소고기집에서 먹어보고 반해서 실컷 마시고 싶어서 구매했는데 만족했습니다. 끝맛이 우유처럼 부드럽게 넘어서 마실 때마다 기분이 좋아져요~ 고기 먹을 때 곁들어도 좋고 단독으로 마시는,소고기집에서 먹어보고 반해서 실컷 마시고 싶어서 구매했는데 만족했습니다. 끝맛이 우유처럼 부드럽게 넘어서 마실 때마다 기분이 좋아져요~ 고기 먹을 때 곁들어도 좋고 단독으로 마시는 것도 좋아요
평점5,담은 Damun,ash9****,23.05.17.,전에 먹었을때 맛있었던 기억이 있어서 다시 시켜봤습니다.전에 먹었던 것 보다 조금 단맛이 덜한 느낌입니다.탄산은 원래도 없었고 여전히 없습니다.탄산 안좋아하시는 분들에게는 좋은 선,"전에 먹었을때 맛있었던 기억이 있어서 다시 시켜봤습니다.
전에 먹었던 것 보다 조금 단맛이 덜한 느낌입니다.
탄산은 원래도 없었고 여전히 없습니다.
탄산 안좋아하시는 분들에게는 좋은 선택일 듯 합니다."
평점5,담은 Damun,hear****,23.05.17.,맛있어서 주변이 선물로 보내줬어요. 입안에서 몽글몽글하게 목넘김이 좋아요. 정말 맛있어요~,맛있어서 주변이 선물로 보내줬어요. 입안에서 몽글몽글하게 목넘김이 좋아요. 정말 맛있어요~
평점5,담은 Damun,styl****,23.05.17.,제 최애 막걸리에요 뽀오얀 탄산없는 막걸리 구름막걸리 최고,제 최애 막걸리에요 뽀오얀 탄산없는 막걸리 구름막걸리 최고
평점5,담은 Damun,k257****,23.05.16.,간만에 주문했는데 포장이 더 깔끔해졌네요^^,간만에 주문했는데 포장이 더 깔끔해졌네요^^
평점5,담은 Damun,mode****,23.05.13.,맛있어요~~~ 배송도 빨라요,맛있어요~~~ 배송도 빨라요
평점5,담은 Damun,zz_o****,23.05.13.,궁금해서 사봤는데 맛이 오묘해요맛있는건 모르겠구 우유맛이 나요,"궁금해서 사봤는데 맛이 오묘해요
맛있는건 모르겠구 우유맛이 나요"
평점5,담은 Damun,alca****,23.05.12.,잘 받았습니다.포장을 꼼꼼하게 해주셔서 문제 없이 잘 받았습니다.그런데 날이 점점 더워지는데 아이스팩은 다 녹은 상태로 배송시작 다음날에 받게되어서 더울땐 주문해도 괜찮을지 싶네요,"잘 받았습니다.
포장을 꼼꼼하게 해주셔서 문제 없이 잘 받았습니다.
그런데 날이 점점 더워지는데 아이스팩은 다 녹은 상태로 배송시작 다음날에 받게되어서 더울땐 주문해도 괜찮을지 싶네요.
잘 마시겠습니다."
평점5,담은 Damun,gkwn****,23.05.12.,부드럽고 맛있네요 ㅎㅎ 진짜 우유 인줄 알았어요,부드럽고 맛있네요 ㅎㅎ 진짜 우유 인줄 알았어요
평점5,담은 Damun,love****,23.05.12.,막걸리 택배라 조금이라도 새거나 할까봐 걱정했는데 꼼꼼하게 포장되어 무사히 잘 받았습니다 배송도 빨랐구요 먹어보고 맛있으면 재구매 하려구요~^^,"막걸리 택배라 조금이라도 새거나 할까봐 걱정했는데 꼼꼼하게 포장되어 무사히 잘 받았습니다 배송도 빨랐구요
먹어보고 맛있으면 재구매 하려구요~^^"
평점5,담은 Damun,jove****,23.05.11.,맛있어요 부들부들하네요,맛있어요 부들부들하네요
평점5,담은 Damun,hosu****,23.05.10.,저온에서 상온으로 술의 온도 변화를 주면서 마셔도 참 맛있고 재미난 술입니다. 좋은 술 감사합니다!,저온에서 상온으로 술의 온도 변화를 주면서 마셔도 참 맛있고 재미난 술입니다. 좋은 술 감사합니다!
평점5,담은 Damun,cs11****,23.05.10.,항상 막걸리는 이게 최고라 생각하고 마시고있습니다 좋은 캠핑에서 빛나는 술이었습니다,항상 막걸리는 이게 최고라 생각하고 마시고있습니다 좋은 캠핑에서 빛나는 술이었습니다
평점5,담은 Damun,yeri****,23.05.10.,대구에는 파는 곳이 없어서 주문했는데 너무 맛있어요ㅠㅠ 서울에서 먹은 뒤로 생각이나서 주문했는데 다음에 또 주문하겠습니다!,대구에는 파는 곳이 없어서 주문했는데 너무 맛있어요ㅠㅠ 서울에서 먹은 뒤로 생각이나서 주문했는데 다음에 또 주문하겠습니다!
