,word,count
0,동네,4
1,여러가지,17
2,막걸리,601
3,호랑이,150
4,명성,2
5,처음,37
6,부모님,23
7,자주,40
8,잘먹엇어,1
9,재주,6
10,친구,23
11,퍄티,1
12,온라인,12
13,구매,160
14,아이스박스,7
15,포장,180
16,뒤끝,7
17,달달,122
18,아주,71
19,주문,220
20,가격,23
21,대비,5
22,전체,3
23,비율,1
24,목넘김,73
25,배송,266
26,상태,16
27,탄산,108
28,화성,2
29,남편,14
30,영향,1
31,지금,3
32,종류,23
33,드뎌,1
34,입맛,23
35,발견,1
36,제일,31
37,마을,21
38,가을,1
39,느낌,34
40,만큼,5
41,이름,3
42,지역,6
43,사서,9
44,최고,49
45,지인,36
46,문해,1
47,유통기한,40
48,제품,33
49,개봉,1
50,개인,5
51,별로,21
52,마켓,11
53,다른,23
54,살때,1
55,사이다,9
56,정말,65
57,매번,12
58,가성,9
59,감동,4
60,합닏,1
61,조금,30
62,역시,33
63,짱짱맨,1
64,가게,12
65,재고,1
66,자리,1
67,검색,3
68,바로,17
69,트름,2
70,무엇,3
71,합성,2
72,감미료,10
73,아스파탐,15
74,약간,21
75,단맛,51
76,최애,25
77,모임,4
78,사진,6
79,진짜,37
80,극찬,1
81,다음,37
82,여기,17
83,가끔,8
84,벌컥,3
85,첨가,4
86,물질,1
87,중간,5
88,게쿄어,1
89,보지,14
90,뿌리,1
91,국순당,2
92,차이,7
93,긍금,1
94,우국생,1
95,실망,3
96,선물,75
97,추천,46
98,내일,3
99,캠핑,6
100,술술,12
101,전통주,7
102,장수,5
103,기전,1
104,장인어른,2
105,파손,8
106,도착,18
107,어어,2
108,나나,1
109,여러,5
110,이번,13
111,성공,1
112,단골,2
113,컬리,1
114,마시기,44
115,부담,11
116,모든,5
117,부문,1
118,만족,7
119,꿀떡,2
120,존맛,6
121,그냥,14
122,사람,14
123,무난,19
124,방금,1
125,정시,1
126,금요일,1
127,냉장고,5
128,라벨,5
129,귀염,1
130,뽀짝,1
131,의향,2
132,프로,1
133,미당,1
134,상품,32
135,배혜정,13
136,식당,12
137,이제,7
138,적응,1
139,런가,3
140,콤달콤,2
141,요구르트,3
142,디저트,2
143,고해,8
144,다음주,1
145,예정,14
146,의사,24
147,소문,4
148,중요,1
149,요즘,13
150,드라마,1
151,가평,1
152,평가,1
153,무조,1
154,가장,18
155,이특,1
156,하이,2
157,상큼,17
158,두통,1
159,매장,1
160,해하,1
161,지도,3
162,삿는데,1
163,아버님,4
164,드셧,1
165,하나,20
166,시간,7
167,수령,2
168,주일,2
169,첫날,2
170,더욱,2
171,우리,10
172,다만,4
173,아이스팩,16
174,직지,1
175,근해,1
176,어버이날,1
177,후기,10
178,호랭이,7
179,여성,4
180,아내,3
181,산미,4
182,끝맛,2
183,매각,6
184,요규르트,1
185,해주시,2
186,뒷맛,4
187,과도,1
188,시중,16
189,리뷰,9
190,주변,6
191,화장실,3
192,폭풍,3
193,설사,5
194,발생,1
195,산도,1
196,좀더,4
197,당시,1
198,변비,2
199,새벽,1
200,어번,1
201,청소,1
202,한번,20
203,대량,1
204,맛을거갘,1
205,기대,29
206,잡맛,1
207,안나,6
208,뭔가,5
209,일반,7
210,대신,3
211,여의도,1
212,배달,8
213,구입,16
214,배상면,1
215,주가,3
216,자회사,1
217,라이트,2
218,걱정,7
219,소주,7
220,음식점,6
221,만해,5
222,그때,2
223,음료,3
224,애용,4
225,모로,2
226,완전,21
227,조만간,3
228,와이프,3
229,효능,1
230,생선,1
231,어제,1
232,깜놀,1
233,전이,9
234,요요,1
235,성분,2
236,다해,2
237,맑은,3
238,부분,6
239,일지,1
240,일단,6
241,곡생주,6
242,호불호,9
243,아부지,4
244,생일,2
245,취향,10
246,미나,1
247,리전,1
248,손상,1
249,보냉,2
250,완충제,1
251,테이,1
252,스팅,1
253,느므맛,1
254,보답,1
255,가미,1
256,대중,7
257,성향,1
258,밍밍,4
259,밸런스,6
260,아빠,10
261,인위,4
262,그대로,4
263,마트,17
264,초반,1
265,술집,14
266,은박,1
267,항상,27
268,퀄리티,2
269,칭찬,3
270,문갑,2
271,대충,1
272,가지,6
273,최고봉,1
274,라면,1
275,하루,9
276,기적,1
277,티어,1
278,쟁여둬,1
279,대요,4
280,필여햐,1
281,여자,2
282,타입,1
283,오픈,1
284,젊은이,1
285,다시,14
286,시작,4
287,살짝,22
288,누구,6
289,퇴근,1
290,벨런스,2
291,오래오래,1
292,톡톡,1
293,예전,7
294,경주,2
295,보룸,1
296,이상,8
297,생기,1
298,땅콩,3
299,일부러,2
300,아스타,6
301,배스,1
302,맛남,3
303,비교,5
304,텁텁함,7
305,추가,6
306,주점,2
307,걸죽,3
308,맜있어,1
309,구신,1
310,바나나,3
311,바디,2
312,기분,11
313,얼음,3
314,보온,1
315,오징어,1
316,볶음,2
317,환상,1
318,궁합,5
319,주말,5
320,잘마셧습,2
321,오프라인,5
322,매우,10
323,거의,4
324,두번째,17
325,친정엄마,1
326,묵힌거,1
327,달라,1
328,보름,2
329,판매,10
330,방법,2
331,연구,1
332,기도,2
333,시킴,1
334,덩어리,1
335,어르신,2
336,된거,4
337,적당,3
338,히달고,2
339,살수,3
340,햇구,1
341,평이,7
342,며칠,3
343,숙성,5
344,막믈리,1
345,파티,2
346,나머지,1
347,인공,6
348,에리,4
349,스리,4
350,안주,10
351,보관,8
352,냉장,2
353,기준,2
354,쓴맛,2
355,가족,16
356,멕기,1
357,쓰기,1
358,사과,7
359,모두,10
360,엄마,10
361,신랑,7
362,강력,1
363,해도,1
364,여름,5
365,한잔,5
366,반주,9
367,전혀,1
368,몇개,2
369,월동,1
370,보이,1
371,인터넷,17
372,이유,3
373,부드러움,5
374,요건,1
375,저렴,1
376,소개,4
377,인생,7
378,수고,4
379,호랑,3
380,사도,1
381,있으몀,1
382,세상,2
383,생각,28
384,혼자,2
385,평소,5
386,피크닉,2
387,사과쥬스,1
388,킬러,1
389,섴은맛,1
390,외관,1
391,가타,1
392,덕분,6
393,데이,1
394,삼겹살,1
395,기네,1
396,막사,3
397,자체,2
398,신경,6
399,종루,1
400,주위,3
401,필요,2
402,여행가,2
403,해결,1
404,박사,1
405,최고다,1
406,택배,6
407,일인,1
408,걸쭉,1
409,드라이,2
410,스타일,7
411,선호,6
412,특유,6
413,눈내,1
414,옥수수,1
415,강냉이,1
416,담으루,1
417,청량감,8
418,튀김,1
419,음식,8
420,해산물,2
421,금방,2
422,해정,1
423,파전,2
424,순위,3
425,농도,1
426,달작,1
427,지근,2
428,무조건,4
429,먹어봣으,1
430,어욤,1
431,마감,1
432,처리,1
433,광장시장,2
434,빈대떡,1
435,그림,2
436,트림,3
437,종종,8
438,말씀,1
439,인증샷,1
440,원래,4
441,박스,6
442,신맛,2
443,보가,1
444,저희,3
445,젛아욯,1
446,설명,3
447,대한,2
448,질문,1
449,게시판,1
450,파악,1
451,이왕이면,2
452,상세,1
453,페이지,1
454,임팩트,1
455,국내,2
456,지유,1
457,감샇,1
458,생신,2
459,팔고,1
460,연락,2
461,신뢰,1
462,위주,1
463,재미,2
464,왓어,1
465,극락,1
466,하서,1
467,술맛,3
468,번창,7
469,좋아욤,1
470,주스,1
471,신세계,3
472,명절,10
473,직접,2
474,재구먀,1
475,위향,1
476,뒷날,1
477,곡주,1
478,옛날,5
479,프리미엄,7
480,곡생,2
481,기운,4
482,강추,8
483,회랑,1
484,식전주,1
485,이용,4
486,문하,1
487,계속,9
488,요다음,3
489,여행,2
490,서울,1
491,지평막걸리,2
492,도도,1
493,질리,2
494,쥬스,1
495,이전,1
496,기억,8
497,네이버,1
498,평범,1
499,경험,4
500,축하,1
501,쟁여놓,2
502,음미,1
503,품질,2
504,근래,1
505,여기저기,1
506,뺘른,1
507,배맛,1
508,지속,1
509,순식간,2
510,입장,1
