,word,count
0,가성,5
1,엄마,14
2,송도,28
3,포장,111
4,부분,3
5,파손,2
6,걸죽,62
7,점도,1
8,탄산,42
9,신맛,14
10,거의,9
11,도수,83
12,은근,5
13,취기,7
14,오름,2
15,가격,77
16,최고,68
17,상품,12
18,요거트,34
19,진득,11
20,우리,2
21,아버님,5
22,참으로,1
23,주문,150
24,막걸리,649
25,음복,1
26,조상,1
27,마음,8
28,생각,58
29,해창,122
30,매번,6
31,송이,14
32,가끔,9
33,다시,12
34,개요,1
35,종종,5
36,옛날,10
37,기회,2
38,구매,119
39,사람,11
40,일전,1
41,동생,2
42,도로,7
43,처음,48
44,편이,9
45,여서,3
46,아침,3
47,햇살,1
48,달달,38
49,쌀맛,1
50,또한,1
51,명성,6
52,하나,29
53,정말,81
54,구입,10
55,주위,1
56,기분,15
57,다른,59
58,느낌,80
59,단맛,35
60,약간,29
61,먹기,26
62,간식,1
63,금방,8
64,배송,196
65,이용,13
66,거처,1
67,우주,2
68,더니,3
69,진짜,102
70,메스꺼움,21
71,짝꿍,2
72,선물,147
73,바로,33
74,술맛,9
75,입장,1
76,시중,8
77,쓰기,2
78,하니,13
79,별루,1
80,하루,14
81,이상,11
82,그닥,4
83,일주일,5
84,지인,31
85,추천,38
86,강추,11
87,필요,6
88,소문,16
89,굳이,3
90,모두,14
91,칭찬,7
92,용이,3
93,어용,3
94,술집,2
95,완전,17
96,걸이,4
97,마트,17
98,다음,53
99,도보,4
100,예전,6
101,아주,65
102,아빠,16
103,아이,3
104,도착,25
105,로켓,1
106,알콜,24
107,취해,4
108,마시기,11
109,조금,33
110,무슨,3
111,가족,27
112,계속,19
113,매하,1
114,불허,2
115,진액,1
116,듯이,1
117,완벽,1
118,역시,78
119,부모님,26
120,취함,2
121,요플레,8
122,제품,21
123,비교,10
124,냉장고,7
125,깊이,5
126,상하,1
127,아이스,17
128,주시,6
129,충전,1
130,매우,17
131,만족,19
132,여기,10
133,재주,10
134,이번,6
135,살짝,21
136,무리,1
137,고급,12
138,흐흐,1
139,해산물,1
140,의사,14
141,선생님,1
142,어제,4
143,오늘,7
144,일반,39
145,진해,13
146,친구,31
147,생일,3
148,별로,23
149,대비,5
150,그냥,25
151,저렴,3
152,만큼,12
153,자꾸,7
154,사람과,1
155,여러분,1
156,리뷰,8
157,마을,9
158,예상,3
159,실제,1
160,성향,1
161,개인,19
162,일단,13
163,안주,17
164,착착,1
165,보통,4
166,부담,8
167,파네,1
168,제일,16
169,대요,3
170,세계,1
171,원픽,1
172,수가,12
173,드니,1
174,워낙,9
175,회사,2
176,동료,1
177,무엇,5
178,여름,4
179,인터넷,12
180,사이트,4
181,치즈,1
182,덮어서,1
183,기름,1
184,라이,1
185,조각,1
186,무척,5
187,뒷맛,7
188,트림,2
189,입맛,23
190,비올,1
191,비빔,1
192,국수,1
193,끝판,1
194,인분,1
195,스타일,7
196,한번,26
197,기대,45
198,대신,4
199,크리,5
200,수고,2
201,노래,1
202,남편,14
203,위해,4
204,확실,1
205,달라,6
206,지면,4
207,행복,1
208,쿠르트,1
209,먹음,3
210,유명,7
211,오히려,4
212,걸죽함,5
213,높이,1
214,어우,2
215,질감,8
216,깜짝,3
217,다만,11
218,평가,4
219,나중,9
220,사진,13
221,모해,2
222,보시,2
223,외할아버지,1
224,심부름,1
225,몰래,1
226,면서,1
227,요구,1
228,평이,4
229,아버지,14
230,유튜부,1
231,난리,1
232,전문가,1
233,차이,6
234,머리,6
235,나름,2
236,해도,2
237,설명,4
238,예술,1
239,드네,5
240,숙취,13
241,미숫가루,18
242,곡물,2
243,인공,3
244,우랑,1
245,도도,18
246,가능,1
247,군대,1
248,기억,6
249,꿀맛,2
250,무조건,4
251,종이,1
252,장식,1
253,걸쭉,6
254,이상은,2
255,자주,23
256,애용,6
257,행사,2
258,농도,11
259,하이,4
260,모말,1
261,당일,1
262,전이,7
263,가장,8
264,뒤끝,3
265,목넘김,63
266,일품,11
267,흡사,1
268,최근,8
269,술술,5
270,찮름,1
271,준비,3
272,걱정,13
273,어르신,1
274,저번,6
275,액체,2
276,좀더,3
277,무색,1
278,한잔,16
279,배달,9
280,무료,5
281,다가,3
282,꿀떡,7
283,이름,1
284,주로,1
285,여수,1
286,개도,1
287,내심,1
288,인지,3
289,자연,1
290,유투브,1
291,평상시,1
292,빨강,1
293,소주,6
294,맥주,4
295,와우,4
296,취하,6
297,독해,1
298,여러,10
299,가지,6
300,여자친구,1
301,극찬,5
302,기절,1
303,이제,7
304,판매,5
305,번창,7
306,해지,1
307,쫀쫀,1
308,거리,8
309,수도,3
310,요구르트,5
311,사이다,2
312,생신,3
313,저희,6
314,명절,9
315,기간,1
316,날짜,3
317,드림,1
318,단지,1
319,얼음,15
320,대가,3
321,선배,2
322,언니,3
323,했숩,1
324,두통,1
325,사서,12
326,맛보기,1
327,사려,2
328,오프라인,1
329,한정,1
330,온라인,2
331,안무,1
332,최강,1
333,바디,14
334,상담,1
335,분도,2
336,택배,11
337,때문,4
338,온갖,1
339,결론,1
340,고개,1
341,덕분,9
342,정기,2
343,줄창,1
344,불가,3
345,매장,1
346,합리,1
347,생선,1
348,자리,6
349,매일,2
350,아부지,5
351,상태,7
352,어머니,5
353,올해,1
354,순이,1
355,원래,7
356,연세,1
357,세상,1
358,장점,1
359,뒷날,1
360,덜덜,2
361,신랑,8
362,집들이,3
363,호불호,12
364,쓴맛,5
365,알코올,3
366,순간,1
367,트름,1
368,신세계,3
369,병중,1
370,고가,2
371,궁금,2
372,드라이,2
373,냄새,13
374,만해,3
375,어보,1
376,엇습,2
377,항상,17
378,가요,9
379,찹쌀,8
380,미가,4
381,족발,2
382,보지,3
383,중이,6
384,산미,9
385,방송,1
386,육전,2
387,육회,1
388,언제,2
389,특유,5
390,종류,7
391,취향,11
392,타입,2
393,았다,1
394,캠핑,5
395,엇어,5
396,잘먹엇네,1
397,인생,12
398,어른,10
399,이건,8
400,주말,7
401,제법,2
402,차원,5
403,도랑,5
404,트브,1
405,도야,1
406,자체,6
407,용량,2
408,대박,1
409,이유,9
410,주변,9
411,수명,1
412,다해,1
413,의아,1
414,밸런스,2
415,효시,1
416,접촉,1
417,금정산성,1
418,기준,3
419,다소,3
420,올드,1
421,조사,1
422,정책,1
423,자유,1
424,가루,2
425,프로,3
426,던데,1
427,나용,3
428,충분,1
429,상큼,3
430,보장,2
431,풍자,3
432,했뉸,1
433,별미,1
434,개봉,3
435,대도,1
436,리도,2
437,그윽,1
438,답습,1
439,하하,2
440,명품,9
441,정이,1
442,모금,8
443,하자,1
444,마자,1
445,날씨,4
446,해지니,1
447,신선도,2
448,문제,3
449,생기지,1
450,성비,2
451,지네,2
452,아양,1
453,감미료,7
454,전통,7
455,두부,1
456,김치,4
457,도토리,2
458,조합,2
459,환상,1
460,폭풍,1
461,수다,1
462,그동안,1
463,스트레스,1
464,제로,2
465,고고,2
466,버젼,2
467,도전,9
468,쭉쭉,4
469,가용,1
470,양도,2
471,절대,1
472,주랑,3
473,궁합,2
474,럭셔리,1
475,창해,3
476,불호,1
477,감사,17
478,레벨,1
479,뻑뻑,4
480,포도,2
481,임의,1
482,탁주,4
483,시간,12
484,가미,1
485,돋웁니,1
486,미리,4
487,해수,1
488,런가,4
489,건가,2
490,플루,3
491,언서,1
492,지역,4
493,두유,2
494,단연,4
495,경험,3
496,요새,1
497,이슈,1
498,예약,1
499,전하,1
500,후기,1
501,질적,1
502,조선시대,1
503,화주,1
504,전날,1
505,과음,1
506,불구,2
507,기념,2
508,덕함,4
509,먼지,1
510,에스,1
511,먹거리,1
512,니드,1
513,맛느,1
514,마스,1
515,가치,1
516,다행,3
517,덕이,1
518,음미,4
519,여유도,1
520,주지,2
521,목구멍,1
522,신경,6
523,취했습니당,1
524,도의,1
525,조화로,1
526,며칠,5
527,숙성,8
528,콜라,1
529,음료,3
530,가스,2
531,입안,2
532,복합,1
533,후회,2
534,고도,1
535,수라,1
536,직하,1
537,보기,3
538,청량감,1
539,품격,1
540,돌림,1
541,고소,2
542,스멜,1
543,이즈,1
544,베리,1
545,먹었스,1
546,위스키,2
547,과정,2
548,라서,1
549,로부터,1
550,피드백,1
551,서도,2
552,스스로,1
553,헤헤,1
554,드렷,1
555,취한,1
556,프리미엄,2
557,보관,5
558,롤스로이스,1
559,지나,3
560,마이,1
561,취했네,1
562,직접,5
563,네이버,1
564,이틀,3
565,아이스박스,2
566,이정,1
567,이면,2
568,부합,1
569,지난,4
570,커피,1
571,이야기,2
572,평소,5
573,나뿌,1
574,빵빵,1
575,비햐,1
576,덕해,5
577,무난,2
578,백정원,1
579,골목,2
580,리지,2
581,라면,1
582,꼬냑,1
583,지고,3
584,매력,4
585,듭니,5
586,인기,3
587,이해,1
588,걸죽해,3
589,동동,1
590,에르,1
591,양조장,1
592,맑은,3
593,예정,10
594,마지막,2
595,취할,3
596,주의,1
597,롯데,1
598,슈퍼,1
599,아야,1
600,글쎄,1
601,동동주,3
602,대기,1
603,요즘,3
604,대학생,1
605,농주,1
606,하주,1
607,필수,2
608,국내,1
609,말로,4
610,구만,1
611,일병,1
612,이화,1
613,백주,1
614,블랙,1
615,주머니,1
616,스티로폼,3
617,내부,2
618,엉망,1
619,물이,3
620,끼리,1
621,만들기,1
622,와인,4
623,기존,2
624,유니크,1
625,분기,1
626,시해,1
627,단계,1
628,울산,1
629,태화,1
630,웅촌,1
631,구비,1
632,퇴근,1
633,저녁,5
634,대용,3
635,음주,2
636,건강,1
637,생활,1
638,청포도,3
639,꿀렁꿀렁,1
640,진하넨,1
641,닭볶음탕,1
642,오징어,1
643,구이,1
644,편견,1
645,온도,2
646,딸아이,2
647,감동,5
648,전통주,2
649,마켓,2
650,마냥,2
651,무게,3
652,연발,1
653,어쩜,1
654,얼마나,2
655,다음주,1
656,조일,4
657,최신,2
658,걸쭈우우우욱하,1
659,정착,1
660,모임,9
661,찬사,1
662,녀석,1
663,수요일,1
664,금요일,2
665,거나,2
666,품질,7
667,입수,1
668,제조,13
669,버전,2
670,함량,1
671,고생,2
672,뚜껑,3
673,사장,2
674,충고,1
675,결과,1
676,서민,1
677,틀리죵,1
678,궁굼해,1
679,추억,3
680,제발,3
681,꿀꺽,3
682,감안,2
683,어기,1
684,대하,2
685,고기,1
686,노미,1
687,밍밍,1
688,스파,1
689,손색,1
690,인정,3
691,레이더스,1
692,팔고,1
693,장도,8
694,마틍삭걸리,1
695,르메,2
696,즈음,1
697,플레인,2
698,설사,1
699,수거,1
700,경우,2
701,지금,6
702,냉장,3
703,수유,1
704,유하,1
705,모이,1
706,출고,1
707,소화,1
708,효과,1
709,두고두고,1
710,옛적,1
711,홍어,2
712,촣아,1
713,갈릴,3
714,대로,4
715,콩국,1
716,장바구니,1
717,쿄쿄,1
718,청주,1
719,호기심,2
720,달기,1
721,무배,1
722,그대로,2
723,이제껏,1
724,간의,1
725,탑텁하,1
726,대해,1
727,실망,3
728,장수,2
729,얘기,3
730,먼저,3
731,신안,1
732,샬듯,1
733,껄쭉,3
734,보약,1
735,유산균,3
736,임신,2
737,출산,1
738,기도,1
739,빨링핬어,1
740,믿음,1
741,국물,2
742,튜브,1
743,발견,1
744,반응,3
745,표현,2
746,상자,1
747,취합니,1
748,어요,1
749,텁텁,4
750,인대,1
751,홀짝,8
752,포인트,1
753,리액션,1
754,발렌타인,1
755,데이,1
756,동네,2
757,식구,1
758,산물,1
759,음식,4
760,대부분,1
761,이모,1
762,만취,1
763,비밀,1
764,슬러시,1
765,유통,4
766,기한,4
767,풍요,1
768,해료,1
769,걸류,1
770,시골,1
771,알리,1
772,세트,1
773,달이,1
774,애로,1
775,극한,1
776,오지,2
777,박스,8
778,적응,1
779,순삭,2
780,극락,1
781,여태,4
782,육아,1
783,부탁,2
784,평보,1
785,얼른,2
786,순도,2
787,한수,1
788,약주,1
789,계획,1
790,동안,1
791,크림,1
792,임산부,1
793,시댁,1
794,지난번,3
795,전파,1
796,여요,1
797,아우,1
798,설치,1
799,주가,2
800,크리스마스,4
801,인상,2
802,어서,1
803,연휴,1
804,개업,1
805,스탈,3
806,남고,1
807,자기,1
808,이로,1
809,구석,1
810,서서,1
811,끝맛,1
812,송시,1
813,드렷어,1
814,줫어,1
815,지각,1
816,스무,1
817,광장시장,1
818,콩국수,1
819,연상,1
820,바다,2
821,바람,1
822,스스,1
823,모래,1
824,설날,1
825,손님,2
826,오거,1
827,보쌈,2
828,인스타,3
829,괜찬으,1
830,적극,2
831,갑자기,2
832,증류,1
833,검색,2
834,텍배,1
835,개성,1
836,토요일,1
837,실온,1
838,엎었습니,1
839,진심,1
